Station ID,Station Name,Daily Trips (Average),Times Greater than Average
253,Winthrop Ave & Lawrence Ave,2.876470588235294,0.65x
596,Benson Ave & Church St,2.871794871794872,0.65x
294,Broadway & Berwyn Ave,2.855721393034826,0.65x
216,California Ave & Division St,2.825,0.64x
242,Damen Ave & Leland Ave,2.8241206030150754,0.64x
394,Clark St & 9th St (AMLI),2.8118811881188117,0.64x
405,Wentworth Ave & 35th St,2.8,0.63x
347,Ashland Ave & Grace St,2.79,0.63x
138,Clybourn Ave & Division St,2.772727272727273,0.63x
437,Washtenaw Ave & Ogden Ave (*),2.75,0.62x
23,Orleans St & Elm St,2.7477477477477477,0.62x
237,MLK Jr Dr & 29th St,2.7425149700598803,0.62x
309,Leavitt St & Armitage Ave,2.733009708737864,0.62x
622,California Ave & Cortez St,2.7213930348258706,0.61x
55,Halsted St & Roosevelt Rd,2.7204301075268815,0.61x
214,Damen Ave & Grand Ave,2.7181818181818183,0.61x
257,Lincoln Ave & Waveland Ave,2.716666666666667,0.61x
276,California Ave & North Ave,2.6993865030674846,0.61x
27,Larrabee St & North Ave,2.698224852071006,0.61x
238,Wolcott (Ravenswood) Ave & Montrose Ave,2.691666666666667,0.61x
461,Broadway & Ridge Ave,2.6785714285714284,0.61x
258,Logan Blvd & Elston Ave,2.6699029126213594,0.6x
383,Paulina St & Flournoy St,2.6683673469387754,0.6x
30,Ashland Ave & Augusta Blvd,2.648936170212766,0.6x
505,Winchester Ave & Elston Ave,2.6296296296296298,0.59x
277,Ashland Ave & Grand Ave,2.6272189349112427,0.59x
19,Throop (Loomis) St & Taylor St,2.621359223300971,0.59x
285,Wood St & Hubbard St,2.60625,0.59x
163,Damen Ave & Clybourn Ave,2.601123595505618,0.59x
101,63rd St Beach,2.5970149253731343,0.59x
89,Financial Pl & Ida B Wells Dr (Temp),2.5873015873015874,0.58x
234,Clark St & Montrose Ave,2.578034682080925,0.58x
638,Clinton St & Jackson Blvd (*),2.5714285714285716,0.58x
236,Sedgwick St & Schiller St,2.5692307692307694,0.58x
659,Leavitt St & Chicago Ave,2.5562130177514795,0.58x
132,Wentworth Ave & 24th St (Temp),2.550724637681159,0.58x
342,Wolcott Ave & Polk St,2.5365853658536586,0.57x
132,Wentworth Ave & 24th St,2.5128205128205128,0.57x
641,Central Park Ave & Bloomingdale Ave,2.5056603773584905,0.57x
205,Paulina St & 18th St,2.5028901734104045,0.57x
605,University Library (NU),2.4932432432432434,0.56x
509,Troy St & North Ave,2.4820143884892087,0.56x
246,Ashland Ave & Belle Plaine Ave,2.473684210526316,0.56x
124,Damen Ave & Cullerton St,2.472972972972973,0.56x
460,Clark St & Bryn Mawr Ave,2.4708994708994707,0.56x
504,Campbell Ave & Fullerton Ave,2.460122699386503,0.56x
481,California Ave & Montrose Ave,2.457516339869281,0.56x
345,Lake Park Ave & 56th St,2.4450549450549453,0.55x
250,Ashland Ave & Wellington Ave,2.4404761904761907,0.55x
217,Elizabeth (May) St & Fulton St,2.4296875,0.55x
657,Wood St & Augusta Blvd,2.4242424242424243,0.55x
103,Clinton St & Polk St,2.4125,0.55x
148,State St & 33rd St,2.391304347826087,0.54x
637,Wood St & Chicago Ave (*),2.3833333333333333,0.54x
267,Lake Park Ave & 47th St,2.3821656050955413,0.54x
68,Clinton St & Tilden St,2.360655737704918,0.53x
376,Artesian Ave & Hubbard St,2.355,0.53x
604,Sheridan Rd & Noyes St (NU),2.336898395721925,0.53x
263,Rhodes Ave & 32nd St,2.3360655737704916,0.53x
498,California Ave & Fletcher St,2.3350515463917527,0.53x
28,Larrabee St & Menomonee St,2.3313253012048194,0.53x
146,Loomis St & Jackson Blvd,2.3251533742331287,0.53x
603,Chicago Ave & Sheridan Rd,2.3225806451612905,0.52x
265,Cottage Grove Ave & Oakwood Blvd,2.3191489361702127,0.52x
32,Racine Ave & Congress Pkwy,2.3146067415730336,0.52x
297,Paulina St & Montrose Ave,2.3048780487804876,0.52x
185,Stave St & Armitage Ave,2.2993197278911564,0.52x
191,Canal St & Monroe St (*),2.2972972972972974,0.52x
290,Kedzie Ave & Palmer Ct,2.294736842105263,0.52x
655,Hoyne Ave & Balmoral Ave,2.2892561983471076,0.52x
491,Talman Ave & Addison St,2.2873563218390807,0.52x
233,Sangamon St & Washington Blvd (*),2.2857142857142856,0.52x
502,California Ave & Altgeld St,2.2697368421052633,0.51x
492,Leavitt St & Addison St,2.265151515151515,0.51x
119,Ashland Ave & Lake St (Temp),2.263157894736842,0.51x
354,Sheridan Rd & Greenleaf Ave,2.2598425196850394,0.51x
501,Richmond St & Diversey Ave,2.2526315789473683,0.51x
487,California Ave & Byron St,2.246268656716418,0.51x
135,Halsted St & 21st St,2.235294117647059,0.51x
292,Southport Ave & Clark St,2.2244897959183674,0.5x
328,Ellis Ave & 58th St,2.218905472636816,0.5x
248,Woodlawn Ave & 55th St,2.2037037037037037,0.5x
121,Blackstone Ave & Hyde Park Blvd,2.2012987012987013,0.5x
624,Dearborn St & Van Buren St (*),2.193548387096774,0.5x
636,Orleans St & Hubbard St (*),2.1844660194174756,0.49x
